Gene_Symbol,log2FC,P.Value,Gene_Description,Significance
PTPRF,-1.007429574,0.026729165,protein tyrosine phosphatase receptor type F,Down
CLDN15,1.26795428,0.026823457,claudin 15,Up
VASH2,2.060455205,0.026849343,vasohibin 2,Up
TMEM74B,1.881369132,0.026866085,transmembrane protein 74B,Up
PTPN14,-1.18983612,0.026882604,protein tyrosine phosphatase non-receptor type 14,Down
GGT1,-1.152390683,0.027118951,gamma-glutamyltransferase 1,Down
KIF20B,1.45204188,0.027120136,kinesin family member 20B,Up
SPECC1,-1.005588556,0.027193702,sperm antigen with calponin homology and coiled-coil domains 1,Down
IDO1,1.227651792,0.027265607,"indoleamine 2,3-dioxygenase 1",Up
RGMA,-3.648068288,0.027282407,repulsive guidance molecule BMP co-receptor a,Down
KCNIP4,-1.903405273,0.027292364,potassium voltage-gated channel interacting protein 4,Down
IQGAP2,-1.386187758,0.027332454,IQ motif containing GTPase activating protein 2,Down
STOX1,1.824985629,0.027378454,storkhead box 1,Up
ARAP3,1.037050147,0.027452499,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3",Up
MPV17L,-1.250673243,0.027462049,MPV17 mitochondrial inner membrane protein like,Down
VIPR2,-2.042044044,0.027491323,vasoactive intestinal peptide receptor 2,Down
S100B,-2.289598186,0.027499177,S100 calcium binding protein B,Down
ACSS2,-1.014517064,0.02757178,acyl-CoA synthetase short chain family member 2,Down
ITIH3,-2.147816993,0.027598543,inter-alpha-trypsin inhibitor heavy chain 3,Down
CYRIA,-1.166703543,0.02762598,CYFIP related Rac1 interactor A,Down
PDZD2,-1.437566806,0.027628147,PDZ domain containing 2,Down
CCDC85A,-2.258793085,0.027638013,coiled-coil domain containing 85A,Down
ITGA7,-2.748198791,0.027711734,integrin subunit alpha 7,Down
LGALS4,-1.153225489,0.02776074,galectin 4,Down
HECTD2,-1.036361424,0.027794725,HECT domain E3 ubiquitin protein ligase 2,Down
DNAH17,1.852060391,0.027802381,dynein axonemal heavy chain 17,Up
TMEM229B,-1.140588316,0.027931607,transmembrane protein 229B,Down
PKP3,1.028060762,0.027938531,plakophilin 3,Up
SMARCD3,-1.415296713,0.027955409,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",Down
TMEM26,1.962335411,0.028059473,transmembrane protein 26,Up
NCS1,-2.453570775,0.028094142,neuronal calcium sensor 1,Down
NBEA,-2.876498222,0.028129641,neurobeachin,Down
RBP1,1.245902013,0.028161227,retinol binding protein 1,Up
INSYN1,-2.331794515,0.028204277,inhibitory synaptic factor 1,Down
PDGFD,-1.184953607,0.028211034,platelet derived growth factor D,Down
USP17L18,1.88142575,0.028470807,ubiquitin specific peptidase 17 like family member 18,Up
REEP1,-1.35665578,0.028527475,receptor accessory protein 1,Down
HACD4,-1.204215333,0.028544128,3-hydroxyacyl-CoA dehydratase 4,Down
SH2D3C,-1.000417785,0.028622616,SH2 domain containing 3C,Down
RGS10,-1.008176464,0.028799594,regulator of G protein signaling 10,Down
RNFT2,1.434708234,0.028808041,"ring finger protein, transmembrane 2",Up
CARMIL3,1.571700673,0.028833346,capping protein regulator and myosin 1 linker 3,Up
ZG16,-5.65580369,0.028886521,zymogen granule protein 16,Down
JAKMIP1,-2.092257073,0.028943824,janus kinase and microtubule interacting protein 1,Down
DNAAF11,1.00877137,0.028967603,dynein axonemal assembly factor 11,Up
WFDC2,-1.356885847,0.029128482,WAP four-disulfide core domain 2,Down
HES2,1.152843488,0.029239436,hes family bHLH transcription factor 2,Up
RUBCNL,1.665329634,0.029304493,rubicon like autophagy enhancer,Up
AHDC1,-1.008845996,0.029333079,AT-hook DNA binding motif containing 1,Down
PALD1,1.055847961,0.029397546,phosphatase domain containing paladin 1,Up
KRT6C,2.235430037,0.029409046,keratin 6C,Up
ZNF467,-1.092441653,0.029449927,zinc finger protein 467,Down
INHBB,1.197399011,0.029556093,inhibin subunit beta B,Up
FBXL7,-1.879515188,0.029666058,F-box and leucine rich repeat protein 7,Down
DSG1,2.440949537,0.029740072,desmoglein 1,Up
H2AC4,1.667863298,0.029752938,H2A clustered histone 4,Up
CHPF,1.013800459,0.029779194,chondroitin polymerizing factor,Up
TLL1,-1.699900799,0.029783932,tolloid like 1,Down
GRB7,2.076242769,0.029802265,growth factor receptor bound protein 7,Up
ACKR4,-1.105753248,0.029838025,atypical chemokine receptor 4,Down
CTSO,-1.016002739,0.029839412,cathepsin O,Down
KLHL4,-2.110349606,0.029878976,kelch like family member 4,Down
MAP1B,-2.41288799,0.029934662,microtubule associated protein 1B,Down
COL19A1,-2.155705759,0.029937264,collagen type XIX alpha 1 chain,Down
P2RY2,-1.020851499,0.029947429,purinergic receptor P2Y2,Down
INS-IGF2,1.481498923,0.030114065,INS-IGF2 readthrough,Up
GIMAP5,-1.008722318,0.030146352,"GTPase, IMAP family member 5",Down
H2AC7,1.38566584,0.030168307,H2A clustered histone 7,Up
ZNF354C,-1.009406939,0.030231966,zinc finger protein 354C,Down
CEACAM6,1.209301603,0.03032622,CEA cell adhesion molecule 6,Up
AEN,1.064135379,0.030449225,apoptosis enhancing nuclease,Up
CATSPER1,2.470383007,0.030464415,cation channel sperm associated 1,Up
NHSL2,-2.286093136,0.030482114,NHS like 2,Down
FIBCD1,2.282387842,0.030487207,fibrinogen C domain containing 1,Up
LIMCH1,-1.104636371,0.030515616,LIM and calponin homology domains 1,Down
HSPA12B,-1.086354176,0.030520734,heat shock protein family A (Hsp70) member 12B,Down
TBC1D32,1.021058598,0.030639547,TBC1 domain family member 32,Up
KIAA1671,-1.343474884,0.030651405,KIAA1671,Down
SQOR,-1.612616053,0.030663251,sulfide quinone oxidoreductase,Down
MEIS1,-2.690621463,0.030792892,Meis homeobox 1,Down
ZBTB12,1.296052132,0.030915196,zinc finger and BTB domain containing 12,Up
GPR157,1.091945782,0.031123406,G protein-coupled receptor 157,Up
HAND2,-4.265110708,0.031347023,heart and neural crest derivatives expressed 2,Down
USP17L15,1.577572828,0.031354568,ubiquitin specific peptidase 17 like family member 15,Up
BVES,-3.47588136,0.031386528,blood vessel epicardial substance,Down
GFI1,-1.032071918,0.031575269,growth factor independent 1 transcriptional repressor,Down
ABCG2,-4.120239919,0.031661121,ATP binding cassette subfamily G member 2 (JR blood group),Down
MATCAP2,1.425740548,0.031677755,microtubule associated tyrosine carboxypeptidase 2,Up
SLC2A13,-1.352781109,0.031698077,solute carrier family 2 member 13,Down
KYNU,1.362475073,0.031773739,kynureninase,Up
KIF4B,1.921647073,0.031779137,kinesin family member 4B,Up
CFH,-1.042348682,0.031789147,complement factor H,Down
ZNF503,1.078859503,0.03185543,zinc finger protein 503,Up
NT5E,-1.008702015,0.031957416,5'-nucleotidase ecto,Down
ST6GALNAC2,-1.212250611,0.032398844,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",Down
ZNF600,1.115050075,0.032553956,zinc finger protein 600,Up
WDR49,-1.948932046,0.032561398,WD repeat domain 49,Down
SLC22A23,-1.310381117,0.03271191,solute carrier family 22 member 23,Down
TRPM4,-1.004094446,0.032766728,transient receptor potential cation channel subfamily M member 4,Down
CSMD2,1.79801594,0.032775092,CUB and Sushi multiple domains 2,Up
SV2A,-2.140039354,0.032785509,synaptic vesicle glycoprotein 2A,Down
IRAG2,-1.141273772,0.032798727,"inositol 1,4,5-triphosphate receptor associated 2",Down
ZNF74,1.030334225,0.032934344,zinc finger protein 74,Up
PYROXD2,-1.118290878,0.032973543,pyridine nucleotide-disulphide oxidoreductase domain 2,Down
CCDC102A,-1.018475552,0.033171589,coiled-coil domain containing 102A,Down
INPP5D,1.681722586,0.033179552,inositol polyphosphate-5-phosphatase D,Up
H2BC3,1.264896845,0.033293767,H2B clustered histone 3,Up
DPH6,1.0165257,0.033381516,diphthamine biosynthesis 6,Up
SLC7A8,1.00637895,0.033426662,solute carrier family 7 member 8,Up
STON1,-2.634151587,0.033621736,stonin 1,Down
B3GNT6,-3.082096256,0.033668835,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",Down
STON1-GTF2A1L,-2.78057543,0.033673188,STON1-GTF2A1L readthrough,Down
PEG3,-3.131290297,0.033679702,paternally expressed 3,Down
OLFM1,-2.001539162,0.033805321,olfactomedin 1,Down
AXL,-1.606968257,0.033853964,AXL receptor tyrosine kinase,Down
ATP2A1,-1.942464029,0.033921409,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 1,Down
AKAP5,-1.375065145,0.034034119,A-kinase anchoring protein 5,Down
C16orf46,1.794031076,0.034074982,chromosome 16 open reading frame 46,Up
LRFN1,-1.324728427,0.034291394,leucine rich repeat and fibronectin type III domain containing 1,Down
PDE1C,-1.382096569,0.034498412,phosphodiesterase 1C,Down
NFE2,-1.849479909,0.034547757,"nuclear factor, erythroid 2",Down
MAP6,-3.037919266,0.03460458,microtubule associated protein 6,Down
TDRD6,1.958309098,0.034749332,tudor domain containing 6,Up
C7,-3.302106804,0.034944826,complement C7,Down
DLC1,-1.787146465,0.034962911,DLC1 Rho GTPase activating protein,Down
NPY4R,-1.976670606,0.035103578,neuropeptide Y receptor Y4,Down
FRMPD1,-1.998155959,0.035131795,FERM and PDZ domain containing 1,Down
CIDEC,-3.374188854,0.035164124,cell death inducing DFFA like effector c,Down
RHOJ,-1.346943169,0.035267092,ras homolog family member J,Down
NLRP6,1.992641457,0.035350285,NLR family pyrin domain containing 6,Up
SLC9A7,1.09547385,0.035352731,solute carrier family 9 member A7,Up
OR2B11,2.513171833,0.035370459,olfactory receptor family 2 subfamily B member 11,Up
ZNF483,-2.521371463,0.035444794,zinc finger protein 483,Down
RBM11,2.135340664,0.035543733,RNA binding motif protein 11,Up
GGTLC2,-1.044721281,0.035571007,gamma-glutamyltransferase light chain 2,Down
GPRC5D,1.804808297,0.035692445,G protein-coupled receptor class C group 5 member D,Up
NPR1,-2.07219516,0.035834011,natriuretic peptide receptor 1,Down
B3GALT2,1.566831985,0.035946709,"beta-1,3-galactosyltransferase 2",Up
ADAMTS6,2.069640051,0.035954541,ADAM metallopeptidase with thrombospondin type 1 motif 6,Up
RGS13,-2.054312795,0.035955855,regulator of G protein signaling 13,Down
DSC2,-1.016036631,0.035965118,desmocollin 2,Down
HOXD11,-1.945466869,0.036089424,homeobox D11,Down
EPHA4,-1.245980182,0.036171671,EPH receptor A4,Down
HEY1,-1.240162503,0.036202643,hes related family bHLH transcription factor with YRPW motif 1,Down
DUOX1,1.537686016,0.036402496,dual oxidase 1,Up
CFAP58,-2.194587006,0.036439925,cilia and flagella associated protein 58,Down
ITGAX,1.133755433,0.036443811,integrin subunit alpha X,Up
TBX1,-1.66394101,0.03651221,T-box transcription factor 1,Down
TMEM238L,-1.40700957,0.036551557,transmembrane protein 238 like,Down
TRHDE,-2.084992013,0.036656615,thyrotropin releasing hormone degrading enzyme,Down
CAVIN1,-2.270402992,0.036695507,caveolae associated protein 1,Down
TMEM200C,1.47372132,0.036736366,transmembrane protein 200C,Up
NKRF,1.127366839,0.036812745,NFKB repressing factor,Up
CFL2,-2.872574689,0.036873807,cofilin 2,Down
NAP1L2,-1.6808822,0.037011506,nucleosome assembly protein 1 like 2,Down
STXBP5L,-1.859007167,0.037102769,syntaxin binding protein 5L,Down
GZMH,1.424550474,0.037141347,granzyme H,Up
ANKRD9,-1.106667586,0.037262293,ankyrin repeat domain 9,Down
MAP3K7CL,1.040045055,0.037361236,MAP3K7 C-terminal like,Up
COL14A1,-1.138366356,0.037392754,collagen type XIV alpha 1 chain,Down
CLEC11A,1.149894598,0.037529328,C-type lectin domain containing 11A,Up
CIMIP2C,1.669754187,0.03764901,ciliary microtubule inner protein 2C,Up
RNASE2,1.786253581,0.037791011,ribonuclease A family member 2,Up
AOC3,-3.369339685,0.037850313,amine oxidase copper containing 3,Down
TMEM81,1.553113016,0.037851069,transmembrane protein 81,Up
MEIS2,-3.322726909,0.037867279,Meis homeobox 2,Down
E2F8,1.088705603,0.037958503,E2F transcription factor 8,Up
CLIP4,-1.990743558,0.038028698,CAP-Gly domain containing linker protein family member 4,Down
AQP7,-2.227596428,0.038080941,aquaporin 7,Down
FAM89A,1.464879649,0.038091918,family with sequence similarity 89 member A,Up
BNIP5,1.223122993,0.038136792,BCL2 interacting protein 5,Up
ST6GAL1,1.090634201,0.038258784,"ST6 beta-galactoside alpha-2,6-sialyltransferase 1",Up
PRCD,-1.594192516,0.038273488,photoreceptor disc component,Down
TNFSF12,-1.264306022,0.038303193,TNF superfamily member 12,Down
RIMKLB,-1.328750863,0.038432662,ribosomal modification protein rimK like family member B,Down
TOGARAM2,-1.749931953,0.038818339,TOG array regulator of axonemal microtubules 2,Down
GALNT12,-1.794071882,0.038875973,polypeptide N-acetylgalactosaminyltransferase 12,Down
SYNC,-1.312814048,0.03895398,"syncoilin, intermediate filament protein",Down
SARDH,-1.153096038,0.038994271,sarcosine dehydrogenase,Down
STAB2,-1.854343492,0.039039848,stabilin 2,Down
LIX1L,-1.069111362,0.039259171,limb and CNS expressed 1 like,Down
SELENBP1,-1.87089734,0.039418169,selenium binding protein 1,Down
CCDC141,-1.105770242,0.039507721,coiled-coil domain containing 141,Down
NLRP12,-1.793000661,0.039670287,NLR family pyrin domain containing 12,Down
EMB,1.066781735,0.03972411,embigin,Up
CARD11,1.387872382,0.039741366,caspase recruitment domain family member 11,Up
C9orf43,1.959523634,0.039756067,chromosome 9 open reading frame 43,Up
DPP10,-1.789380055,0.039769096,dipeptidyl peptidase like 10,Down
SLIT3,-2.59150869,0.040003126,slit guidance ligand 3,Down
PDE6B,-1.635293647,0.040190048,phosphodiesterase 6B,Down
ZNF239,1.216456993,0.040282672,zinc finger protein 239,Up
AKT3,-1.757046547,0.040346523,AKT serine/threonine kinase 3,Down
SNPH,-1.693062513,0.040369908,syntaphilin,Down
RUNDC3A,-1.5517433,0.040404602,RUN domain containing 3A,Down
PPP1R14D,-1.129456587,0.040422791,protein phosphatase 1 regulatory inhibitor subunit 14D,Down
GARIN5A,1.488604051,0.0405849,golgi associated RAB2 interactor 5A,Up
ITGBL1,2.147763497,0.040585322,integrin subunit beta like 1,Up
ILK,-1.012262116,0.040631167,integrin linked kinase,Down
PI15,-1.346376704,0.040637902,peptidase inhibitor 15,Down
DUOXA1,1.804293907,0.040669156,dual oxidase maturation factor 1,Up
ADAMTS18,1.859440004,0.040680468,ADAM metallopeptidase with thrombospondin type 1 motif 18,Up
TDRD10,-1.952781792,0.040737155,tudor domain containing 10,Down
PMP22,-1.404794182,0.040757568,peripheral myelin protein 22,Down
ACTN2,-1.844913353,0.040860658,actinin alpha 2,Down
PRRG3,-2.048709048,0.041014077,proline rich and Gla domain 3,Down
ADGRG5,1.556985733,0.041026294,adhesion G protein-coupled receptor G5,Up
AKR1C2,-1.138716888,0.041075586,aldo-keto reductase family 1 member C2,Down
PRR36,2.872444969,0.041091342,proline rich 36,Up
HTR4,-3.965762584,0.041355074,5-hydroxytryptamine receptor 4,Down
CFAP45,1.899082993,0.041402007,cilia and flagella associated protein 45,Up
ZNF528,-1.069631271,0.04140231,zinc finger protein 528,Down
FXYD6,-3.22652526,0.041471459,FXYD domain containing ion transport regulator 6,Down
APC2,-1.257002667,0.041560137,APC regulator of WNT signaling pathway 2,Down
TAS2R50,1.921639654,0.041570989,taste 2 receptor member 50,Up
BCL11B,1.567308817,0.041659516,BCL11 transcription factor B,Up
ZFP69B,1.630902869,0.04166248,ZFP69 zinc finger protein B,Up
NETO2,1.133766337,0.04166942,neuropilin and tolloid like 2,Up
PDGFRA,-1.05453342,0.041750659,platelet derived growth factor receptor alpha,Down
SEPTIN4,-1.253085354,0.041929383,septin 4,Down
GP6,1.682014741,0.041955011,glycoprotein VI platelet,Up
TMEM54,-1.496833093,0.042004872,transmembrane protein 54,Down
PHOSPHO2,1.33517677,0.0420252,"phosphatase, orphan 2",Up
GAPDHS,1.312476116,0.042109959,"glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",Up
CMTM1,1.261826099,0.04239615,CKLF like MARVEL transmembrane domain containing 1,Up
AQP1,-1.002752955,0.042432517,aquaporin 1 (Colton blood group),Down
SPARCL1,-2.681075768,0.042460025,SPARC like 1,Down
SPDEF,-1.930901513,0.042648352,SAM pointed domain containing ETS transcription factor,Down
CRHBP,-1.749017864,0.042690472,corticotropin releasing hormone binding protein,Down
PTGES3L,-1.037112946,0.042713452,prostaglandin E synthase 3 like,Down
RGS11,-1.121673609,0.042800409,regulator of G protein signaling 11,Down
DGKI,-1.344869863,0.043070337,diacylglycerol kinase iota,Down
CUBN,-1.24339001,0.043079968,cubilin,Down
GAL3ST1,-1.036116787,0.043178539,galactose-3-O-sulfotransferase 1,Down
SLC12A8,1.017758539,0.043340811,solute carrier family 12 member 8,Up
PCP4,-1.698194347,0.043351507,Purkinje cell protein 4,Down
GRAPL,1.405252713,0.043362272,GRB2 related adaptor protein like,Up
POTEI,1.937730124,0.043573046,POTE ankyrin domain family member I,Up
ITGB1BP2,-1.557079971,0.0436406,integrin subunit beta 1 binding protein 2,Down
GSTT2B,-1.841297482,0.043832664,glutathione S-transferase theta 2B,Down
RFX6,-2.11372681,0.043863069,regulatory factor X6,Down
XKR6,1.269903794,0.043909251,XK related 6,Up
FCER1A,-2.064830589,0.044050805,Fc epsilon receptor Ia,Down
FCGBP,-3.991131989,0.044058778,Fc gamma binding protein,Down
ALOX15B,1.866076993,0.044283855,arachidonate 15-lipoxygenase type B,Up
ZNF486,1.115173694,0.044313317,zinc finger protein 486,Up
C14orf28,-1.022970367,0.044323669,chromosome 14 open reading frame 28,Down
RNASEL,-1.120319016,0.044418812,ribonuclease L,Down
TNFSF9,1.534491173,0.044451062,TNF superfamily member 9,Up
SOX7,-1.085775287,0.044473758,SRY-box transcription factor 7,Down
APCDD1,1.370484428,0.044681644,APC down-regulated 1,Up
ASTN2,-1.176254886,0.04476743,astrotactin 2,Down
TAGLN,-3.198700843,0.044815336,transgelin,Down
ICA1L,-1.485989085,0.044902573,islet cell autoantigen 1 like,Down
ADAMTS14,1.099320695,0.045007535,ADAM metallopeptidase with thrombospondin type 1 motif 14,Up
AMPD1,-1.932558049,0.045346205,adenosine monophosphate deaminase 1,Down
RAI2,-1.074552852,0.045361655,retinoic acid induced 2,Down
DAB1,-1.561370786,0.045365667,DAB adaptor protein 1,Down
AMPH,-1.771486914,0.045403606,amphiphysin,Down
EFNB3,1.672143933,0.045684661,ephrin B3,Up
DIPK1B,-1.678374053,0.045762831,divergent protein kinase domain 1B,Down
C16orf54,-1.1225447,0.046311642,chromosome 16 open reading frame 54,Down
SOCS6,-1.072298773,0.046322287,suppressor of cytokine signaling 6,Down
STC2,2.614458416,0.046427022,stanniocalcin 2,Up
SMARCA1,-1.312531804,0.04646337,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1",Down
SERPINA3,-1.34124294,0.046667068,serpin family A member 3,Down
H3C13,1.209863761,0.046813462,H3 clustered histone 13,Up
PKLR,1.202151442,0.046994834,pyruvate kinase L/R,Up
PALM,-2.317724866,0.04707239,paralemmin,Down
EEF1AKMT1,1.029363735,0.047132302,EEF1A lysine methyltransferase 1,Up
CFAP92,1.562542372,0.047302719,cilia and flagella associated protein 92 (putative),Up
COL6A2,-1.62136556,0.047312125,collagen type VI alpha 2 chain,Down
RASGRP4,-1.404784718,0.047509617,RAS guanyl releasing protein 4,Down
PLEKHO1,-1.783653947,0.047568403,pleckstrin homology domain containing O1,Down
GRAP,1.034497618,0.047576752,GRB2 related adaptor protein,Up
ZNF626,-1.641789945,0.047637861,zinc finger protein 626,Down
KRT6A,1.813495926,0.047656852,keratin 6A,Up
OSR1,-3.145268377,0.047816138,odd-skipped related transcription factor 1,Down
MARCHF8,-1.041269923,0.047821312,membrane associated ring-CH-type finger 8,Down
KIAA1549L,-1.878768479,0.047845468,KIAA1549 like,Down
