Symbol,Module,Degree,Log2FC
C2,7,2,2.417769716
SCUBE2,7,2,-2.638272964
MPDZ,7,2,-3.009316956
TNFRSF12A,7,2,2.125158934
TPSAB1,7,2,-1.910452028
NRG2,7,2,-5.873658046
NFIA,7,2,-1.113794762
PLXNB3,7,2,-3.146095127
CD209,7,2,-1.519756769
COL11A1,7,2,5.109352675
DENND2B,7,2,-1.482761391
CFD,7,2,-2.711869406
SRPX2,7,2,1.751964198
BTC,7,2,-1.65265538
TNFRSF11A,7,2,-1.2480484
ACVRL1,7,2,-1.364069297
AIM2,7,2,2.534494794
IL1RL2,7,2,2.352023479
FGFRL1,7,2,1.47797471
ZEB2,7,2,-1.497370354
TGFBI,7,2,2.287230577
PRG4,7,2,-3.996761024
CEACAM1,7,1,-1.767849402
JOSD1,7,1,-1.196489527
HLF,7,1,-3.577379845
ANGPTL1,7,1,-2.844056274
BCL2L2,7,1,-1.363163505
EDAR,7,1,3.262304477
USP2,7,1,-4.063105285
MYOM2,7,1,-2.255759527
DISP2,7,1,-2.324425648
FCN3,7,1,3.830045372
ADAMTS1,7,1,-2.682058548
SOSTDC1,7,1,-2.300876997
AGTRAP,7,1,1.127810813
HHLA2,7,1,-2.096751578
CD160,7,1,-2.929312316
TGIF2,7,1,1.677449283
OGN,7,1,-2.967880522
NKX2-3,7,1,-3.594012555
CSTA,7,1,2.807319386
ITLN1,7,1,-3.452278223
CCL4L2,7,1,1.995529047
GDPD5,7,1,1.695192259
FOXF2,7,1,-3.409798933
C8G,7,1,-3.447464067
ATOH1,7,1,-2.107210264
MST1,7,1,1.532557366
MACC1,7,1,2.696737565
BMP5,7,1,-2.64238478
KCNV2,7,1,3.570577047
RNF32,7,1,1.594470784
SLC16A7,7,1,-2.478805247
TPSB2,7,1,-1.928280959
CCL23,7,1,-2.212657152
SLC4A11,7,1,3.89770175
NOX1,7,1,1.766080224
FOXP2,7,1,-3.115044108
NFIC,7,1,-1.517460838
CNTN1,7,1,-5.409870501
SAMD4A,7,1,-2.474998843
SEMA3B,7,1,-1.436586112
SDHA,8,13,-1.109679391
ACOX1,8,13,-1.371133173
ACAA2,8,12,-1.697335022
HSPD1,8,12,1.548706322
ACADS,8,10,-1.882910769
CCT6A,8,10,1.057609406
CCT2,8,10,1.09153452
ACAA1,8,10,-1.216266251
RAN,8,10,1.066756093
CPT2,8,9,-1.319750528
RAE1,8,9,1.516502264
ACO2,8,8,-1.348862704
CPT1A,8,8,-1.332344705
ACAT1,8,8,-1.455775805
ECI2,8,8,-1.598627738
ACADVL,8,8,-1.231207389
HSPB8,8,7,-5.949522401
GPT,8,7,-2.345640243
TG,8,6,3.817151497
SLC25A20,8,6,-1.371032239
TUBAL3,8,6,-2.387037868
SNRPB,8,6,1.270565775
HSPE1,8,5,1.334413188
FABP1,8,5,-2.303461775
SNRPE,8,5,1.300571051
ETFDH,8,5,-1.913668733
